artist,title,ultimate_guitar_url
Damien Rice,Cannonball,https://tabs.ultimate-guitar.com/tab/damien-rice/cannonball-chords-144219
Damien Rice,Delicate,https://tabs.ultimate-guitar.com/tab/damien-rice/delicate-chords-112109
Damien Rice,Older Chests,https://tabs.ultimate-guitar.com/tab/damien-rice/older-chests-chords-1690771
Damien Rice,The Blowers Daughter,https://tabs.ultimate-guitar.com/tab/damien-rice/the-blowers-daughter-chords-149330
Damien Rice,The Professor,https://tabs.ultimate-guitar.com/tab/damien-rice/the-professor-chords-1111479
Dan Fogelberg,Only The Heart May Know,https://tabs.ultimate-guitar.com/tab/dan-fogelberg/only-the-heart-may-know-chords-2359485
Dan Henig,Get Low,https://tabs.ultimate-guitar.com/tab/dan-henig/get-low-chords-1430806
Dan Hill,Sometimes When We Touch,https://tabs.ultimate-guitar.com/tab/dan-hill/sometimes-when-we-touch-chords-946499
Daniel Powter,Bad Day,https://tabs.ultimate-guitar.com/tab/daniel-powter/bad-day-chords-202343
Darude,Sandstorm,https://tabs.ultimate-guitar.com/tab/darude/sandstorm-official-2515956
Dashboard Confessional,Hands Down,https://tabs.ultimate-guitar.com/tab/dashboard-confessional/hands-down-chords-98112
Dave Barnes,On A Night Like This,https://tabs.ultimate-guitar.com/tab/dave-barnes/on-a-night-like-this-chords-926138
David Crowder*Band,Come Thou Fount,https://tabs.ultimate-guitar.com/tab/david-crowderband/come-thou-fount-chords-1483119
David Guetta,Im Good Blue,https://tabs.ultimate-guitar.com/tab/david-guetta/im-good-blue-chords-4594307
David Guetta,Titanium,https://tabs.ultimate-guitar.com/tab/david-guetta/titanium-chords-1098920
Deana Carter,Strawberry Wine,https://tabs.ultimate-guitar.com/tab/deana-carter/strawberry-wine-chords-64464
Death Cab for Cutie,I Will Follow You Into The Dark,https://tabs.ultimate-guitar.com/tab/death-cab-for-cutie/i-will-follow-you-into-the-dark-chords-204631
Delta Rae,A Long And Happy Life,https://tabs.ultimate-guitar.com/tab/delta-rae/a-long-and-happy-life-chords-1972239
Des'ree,You Gotta Be,https://tabs.ultimate-guitar.com/tab/desree/you-gotta-be-chords-1837640
Dexys Midnight Runners,Come On Eileen,https://tabs.ultimate-guitar.com/tab/dexys-midnight-runners/come-on-eileen-chords-67001
Dion,The Wanderer,https://tabs.ultimate-guitar.com/tab/dion/the-wanderer-chords-1196200
Dolly Parton,9 To 5,https://tabs.ultimate-guitar.com/tab/dolly-parton/9-to-5-official-2523078
Dolly Parton,Jolene,https://tabs.ultimate-guitar.com/tab/dolly-parton/jolene-chords-183019
Dolly Parton,Shine,https://tabs.ultimate-guitar.com/tab/dolly-parton/shine-chords-2113345
Don McLean,American Pie,https://tabs.ultimate-guitar.com/tab/don-mclean/american-pie-official-2098503
Donna Lewis,I Love You Always Forever,https://tabs.ultimate-guitar.com/tab/donna-lewis/i-love-you-always-forever-chords-743496
Dr. Dog,Whered All The Time Go,https://tabs.ultimate-guitar.com/tab/dr-dog/whered-all-the-time-go-chords-945193
Dua Lipa,Levitating,https://tabs.ultimate-guitar.com/tab/dua-lipa/levitating-official-3532892
Ed Sheeran,The A Team,https://tabs.ultimate-guitar.com/tab/ed-sheeran/the-a-team-chords-989712
Edward Sharpe and the Magnetic Zeros,Home,https://tabs.ultimate-guitar.com/tab/edward-sharpe-and-the-magnetic-zeros/home-chords-923641
Elton John,Can You Feel The Love Tonight,https://tabs.ultimate-guitar.com/tab/elton-john/can-you-feel-the-love-tonight-chords-519520
Elton John,Circle Of Life,https://tabs.ultimate-guitar.com/tab/elton-john/circle-of-life-chords-715636
Elton John,Dont Go Breaking My Heart,https://tabs.ultimate-guitar.com/tab/elton-john/dont-go-breaking-my-heart-chords-1034426
Elton John,Tiny Dancer,https://tabs.ultimate-guitar.com/tab/elton-john/tiny-dancer-chords-900075
Elton John,Your Song,https://tabs.ultimate-guitar.com/tab/elton-john/your-song-chords-29113
Elvis Presley,Cant Help Falling In Love,https://tabs.ultimate-guitar.com/tab/elvis-presley/cant-help-falling-in-love-chords-1086983
Eminem,Lose Yourself,https://tabs.ultimate-guitar.com/tab/eminem/lose-yourself-official-1986375
Eminem,Mockingbird,https://tabs.ultimate-guitar.com/tab/eminem/mockingbird-official-2622027
Eminem,The Real Slim Shady,https://tabs.ultimate-guitar.com/tab/eminem/the-real-slim-shady-official-3581294
Eric Church,Springsteen,https://tabs.ultimate-guitar.com/tab/eric-church/springsteen-chords-1705908
Eric Clapton,Tears In Heaven,https://tabs.ultimate-guitar.com/tab/eric-clapton/tears-in-heaven-chords-627220
Eve 6,Inside Out,https://tabs.ultimate-guitar.com/tab/eve-6/inside-out-chords-1105574
Faith Hill,Breathe,https://tabs.ultimate-guitar.com/tab/faith-hill/breathe-chords-103899
Fall Out Boy,Sugar Were Going Down,https://tabs.ultimate-guitar.com/tab/fall-out-boy/sugar-were-going-down-chords-267936
Feist,1234,https://tabs.ultimate-guitar.com/tab/feist/1234-chords-1505081
First Aid Kit,Emmylou,https://tabs.ultimate-guitar.com/tab/first-aid-kit/emmylou-chords-1125712
Florida Georgia Line,Cruise,https://tabs.ultimate-guitar.com/tab/florida-georgia-line/cruise-chords-1161882
Flyte,Im Not There,https://tabs.ultimate-guitar.com/tab/flyte/im-not-there-chords-5671524
Fountains of Wayne,Stacys Mom,https://tabs.ultimate-guitar.com/tab/fountains-of-wayne/stacys-mom-chords-58371
Frank Sinatra,Fly Me To The Moon,https://tabs.ultimate-guitar.com/tab/frank-sinatra/fly-me-to-the-moon-chords-335196
Frank Sinatra,You Make Me Feel So Young,https://tabs.ultimate-guitar.com/tab/frank-sinatra/you-make-me-feel-so-young-chords-1425782
Franz Ferdinand,Take Me Out,https://tabs.ultimate-guitar.com/tab/franz-ferdinand/take-me-out-chords-176648
Fun.,Carry On,https://tabs.ultimate-guitar.com/tab/fun-/carry-on-chords-1145122
Garth Brooks,Callin Baton Rouge,https://tabs.ultimate-guitar.com/tab/garth-brooks/callin-baton-rouge-chords-62594
Gary Jules,Mad World,https://tabs.ultimate-guitar.com/tab/gary-jules/mad-world-official-2148405
Gene Kelly,Singin In The Rain,https://tabs.ultimate-guitar.com/tab/gene-kelly/singin-in-the-rain-chords-2668107
George Gershwin,Summertime,https://tabs.ultimate-guitar.com/tab/george-gershwin/summertime-chords-1053545
George Michael,Faith,https://tabs.ultimate-guitar.com/tab/george-michael/faith-chords-902159
